"Name","AppID"
"Media Player","Microsoft.ZuneMusic_8wekyb3d8bbwe!Microsoft.ZuneMusic"
"Microsoft 365 Copilot","Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe!Microsoft.MicrosoftOfficeHub"
"Microsoft Defender","Microsoft.6365217CE6EB4_8wekyb3d8bbwe!App"
"Microsoft Edge","MSEdge"
"Microsoft Store","Microsoft.WindowsStore_8wekyb3d8bbwe!App"
"Microsoft Teams","MSTeams_8wekyb3d8bbwe!MSTeams"
"Microsoft To Do","Microsoft.Todos_8wekyb3d8bbwe!App"
"Narrator","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\narrator.exe"
"Nightly Private Browsing","FB6E1FC24C6D700D;PrivateBrowsingAUMID"
"Node.js","{6D809377-6AF0-444B-8957-A3773F02200E}\nodejs\node.exe"
"Node.js command prompt","Microsoft.AutoGenerated.{499EE7CA-7ED5-EBC9-AB09-80DC143D7B90}"
"Node.js documentation","https://nodejs.org/download/release/v22.21.1/docs/api/"
"Node.js website","https://nodejs.org/"
"Notepad","Microsoft.WindowsNotepad_8wekyb3d8bbwe!App"
"nvm","C:\Users\prart\AppData\Local\nvm\nvm.exe"
"ODBC Data Sources (32-bit)","{D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\odbcad32.exe"
"ODBC Data Sources (64-bit)","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\odbcad32.exe"
"Office Language Preferences","Microsoft.Office.SETLANG.EXE.15"
"Ollama","C:\Users\prart\AppData\Local\Programs\Ollama\ollama app.exe"
"OneNote","Microsoft.Office.ONENOTE.EXE.15"
"On-Screen Keyboard","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\osk.exe"
"Outlook","Microsoft.OutlookForWindows_8wekyb3d8bbwe!Microsoft.OutlookforWindows"
"Outlook (classic)","Microsoft.Office.OUTLOOK.EXE.15"
"Paint","Microsoft.Paint_8wekyb3d8bbwe!App"
"Performance Monitor","Microsoft.AutoGenerated.{8AA47365-B2B3-1961-69EB-F866E376B12F}"
"Perplexity","www.perplexity.ai-96A2307B_sfyg0xmy1x778!App"
"Phone Link","Microsoft.YourPhone_8wekyb3d8bbwe!App"
"Photos","Microsoft.Windows.Photos_8wekyb3d8bbwe!App"
"Power Automate","Microsoft.PowerAutomateDesktop_8wekyb3d8bbwe!PAD.Console"
"PowerPoint","Microsoft.Office.POWERPNT.EXE.15"
"PowerToys (Preview)","Microsoft.PowerToysWin32"
"Publisher","Microsoft.Office.MSPUB.EXE.15"
"Python 3.13 (64-bit)","C:\Python313\python.exe"
"Python 3.13 Manuals (64-bit)","C:\Python313\Doc\html\index.html"
"Python 3.13 Module Docs (64-bit)","Microsoft.AutoGenerated.{295F2481-2276-6B09-3695-02EC7A4DE3A6}"
"Python 3.9 (64-bit)","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Microsoft Visual Studio\Shared\Python39_64\python.exe"
"Python 3.9 Manuals (64-bit)","Microsoft.AutoGenerated.{5628DBA7-866A-ECA3-714E-24CE106E200D}"
"Python 3.9 Module Docs (64-bit)","Microsoft.AutoGenerated.{1D2D642B-5566-5822-C8AC-B8F762A32F94}"
"Qoder","AlibabaCloud.Qoder"
"Quick Assist","MicrosoftCorporationII.QuickAssist_8wekyb3d8bbwe!App"
"readme","Microsoft.AutoGenerated.{8FEFE67B-90B9-92EC-B48C-6BDE1A6025B4}"
"ReadMe","https://github.com/tesseract-ocr/tesseract/wiki/ReadMe"
"Recovery Drive","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\RecoveryDrive.exe"
"Registry Editor","{F38BF404-1D43-42F2-9305-67DE0B28FC23}\regedit.exe"
"Remote Desktop Connection","Microsoft.Windows.RemoteDesktop"
"Reset the Visual Studio 2022 Experimental Instance","Microsoft.AutoGenerated.{5D180FC5-5E76-B2B7-9CA7-E2AEBB923E66}"
"Resource Monitor","Microsoft.AutoGenerated.{C804BBA7-FA5F-CBF7-8B55-2096E5F972CB}"
"Revo Uninstaller Pro","{6D809377-6AF0-444B-8957-A3773F02200E}\VS Revo Group\Revo Uninstaller Pro\RevoUninPro.exe"
"Revo Uninstaller Pro Help","{6D809377-6AF0-444B-8957-A3773F02200E}\VS Revo Group\Revo Uninstaller Pro\Revo Uninstaller Pro Help.pdf"
"Revo Uninstaller Pro on the Web","http://www.revouninstaller.com/"
"Run","Microsoft.Windows.Shell.RunDialog"
"Sample Desktop Apps","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Windows Kits\10\Shortcuts\DesktopAppsSamples.url"
"Sample UWP Apps","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Windows Kits\10\Shortcuts\UWPAppsSamples.url"
"Serenade","com.electron.serenade"
"Services","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\services.msc"
"Settings","windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel"
"Snipping Tool","Microsoft.ScreenSketch_8wekyb3d8bbwe!App"
"Sound Recorder","Microsoft.WindowsSoundRecorder_8wekyb3d8bbwe!App"
"Start Experimental Instance of Visual Studio 2022","Microsoft.AutoGenerated.{01391F6E-3BD6-0425-AC4F-7A4088FA9E97}"
"Steps Recorder","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\psr.exe"
"Sticky Notes","Microsoft.MicrosoftStickyNotes_8wekyb3d8bbwe!App"
"Sticky Notes (new)","Microsoft.Office.OneNote.MemoryPreview"
"Synaptics TouchPad","SynapticsIncorporated.SynHPConsumerDApp_807d65c4rvak2!SynHPConsumerDApp"
"System Configuration","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\msconfig.exe"
"System Information","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\msinfo32.exe"
"Task Manager","Microsoft.AutoGenerated.{923DD477-5846-686B-A659-0FCCD73851A8}"
"Task Scheduler","Microsoft.AutoGenerated.{C1C6F8AC-40A3-0F5C-146F-65A9DC70BBB4}"
"Terminal","Microsoft.WindowsTerminal_8wekyb3d8bbwe!App"
"Tools for Desktop Apps","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Windows Kits\10\Shortcuts\DesktopAppsToolsDocumentation.url"
"Tools for UWP Apps","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Windows Kits\10\Shortcuts\UWPAppsToolsDocumentation.url"
"Ubuntu","Microsoft.AutoGenerated.{4ACB61E9-B649-6454-E964-5584781D602D}"
"Uninstall","{6D809377-6AF0-444B-8957-A3773F02200E}\Tesseract-OCR\tesseract-uninstall.exe"
"Uninstall Node.js","Microsoft.AutoGenerated.{7B834C1B-21AB-A86E-2580-B65D485D73D3}"
"Uninstall Revo Uninstaller Pro","{6D809377-6AF0-444B-8957-A3773F02200E}\VS Revo Group\Revo Uninstaller Pro\unins000.exe"
"Visual Studio 2022","VisualStudio.6cd54a5d"
"Visual Studio Code","Microsoft.VisualStudioCode"
"Visual Studio Code - Insiders","Microsoft.VisualStudioCodeInsiders"
"Visual Studio Installer","Microsoft.VisualStudio.Installer"
"Voice access","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\voiceaccess.exe"
"Weather","Microsoft.BingWeather_8wekyb3d8bbwe!App"
"What is new in the latest version","{6D809377-6AF0-444B-8957-A3773F02200E}\WinRAR\WhatsNew.txt"
"Windows App Cert Kit","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Windows Kits\10\App Certification Kit\appcertui.exe"
"Windows Backup","MicrosoftWindows.Client.CBS_cw5n1h2txyewy!WindowsBackup"
"Windows Defender Firewall with Advanced Security","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WF.msc"
"Windows Media Player Legacy","Microsoft.Windows.MediaPlayer32"
"Windows Memory Diagnostic","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\MdSched.exe"
"Windows Performance Analyzer","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Windows Kits\10\Windows Performance Toolkit\wpa.exe"
"Windows Performance Recorder","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Windows Kits\10\Windows Performance Toolkit\WPRUI.exe"
"Windows PowerShell","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WindowsPowerShell\v1.0\powershell.exe"
"Windows PowerShell (x86)","{D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\WindowsPowerShell\v1.0\powershell.exe"
"Windows PowerShell ISE","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WindowsPowerShell\v1.0\PowerShell_ISE.exe"
"Windows PowerShell ISE (x86)","{D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\WindowsPowerShell\v1.0\PowerShell_ISE.exe"
"Windows Security","Microsoft.SecHealthUI_8wekyb3d8bbwe!SecHealthUI"
"Windows Software Development Kit","Microsoft.AutoGenerated.{3B6E7DF3-19A3-70DB-96F6-86E65A17E61C}"
"Windows Tools","Microsoft.Windows.AdministrativeTools"
"WinHTTrack Website Copier","{6D809377-6AF0-444B-8957-A3773F02200E}\WinHTTrack\WinHTTrack.exe"
"WinRAR","{6D809377-6AF0-444B-8957-A3773F02200E}\WinRAR\WinRAR.exe"
"WinRAR help","{6D809377-6AF0-444B-8957-A3773F02200E}\WinRAR\WinRAR.chm"
"Word","Microsoft.Office.WINWORD.EXE.15"
"WSL","Microsoft.WSL"
"WSL Settings","{6D809377-6AF0-444B-8957-A3773F02200E}\WSL\wslsettings\wslsettings.exe"
"x64 Native Tools Command Prompt for VS 2022","Microsoft.AutoGenerated.{86997D92-2F6B-FCAF-C97C-27F79546CA7C}"
"x64_x86 Cross Tools Command Prompt for VS 2022","Microsoft.AutoGenerated.{B1331350-92CB-D6D9-9045-4BA3E2200EEE}"
"x86 Native Tools Command Prompt for VS 2022","Microsoft.AutoGenerated.{D6D9FF0A-6368-3A66-8FA9-231D085436D4}"
"x86_x64 Cross Tools Command Prompt for VS 2022","Microsoft.AutoGenerated.{F7F1CEA8-372E-3932-F0A7-1BF7F475590A}"
"Xbox","Microsoft.GamingApp_8wekyb3d8bbwe!Microsoft.Xbox.App"
